Date,Open,High,Low,Close,Adj Close,Volume,OilPrice,deaths,DPRIME,TOTALSA,GoogleTrend,new_cases,new_deaths
2020/7/7,281.002014,285.899994,267.34201,277.971985,277.971985,107448500,43.28,0,3.25,0.498333333,69,49990,359
2020/7/8,281,283.451996,262.268005,273.175995,273.175995,81556500,43.67,0,3.25,0.498333333,58,57473,1174
2020/7/9,279.39801,281.712006,270.256012,278.855988,278.855988,58588000,42.35,0,3.25,0.498333333,54,58906,829
2020/7/10,279.200012,309.783997,275.201996,308.929993,308.929993,116688000,43.27,0,3.25,0.498333333,63,63004,982
2020/7/13,331.799988,358.997986,294.221985,299.411987,299.411987,194927000,42.85,0,3.25,0.498333333,88,57258,391
2020/7/14,311.200012,318,286.200012,303.359985,303.359985,117090500,42.97,0,3.25,0.498333333,78,58114,400
2020/7/15,308.600006,310,291.399994,309.201996,309.201996,81839000,43.96,0,3.25,0.498333333,63,68518,861
2020/7/16,295.432007,306.34201,293.200012,300.127991,300.127991,71504000,43.71,0,3.25,0.498333333,60,67717,953
2020/7/17,302.690002,307.502014,298,300.167999,300.167999,46650000,43.53,0,3.25,0.498333333,56,76930,939
2020/7/20,303.802002,330,297.600006,328.600006,328.600006,85607000,43.3,0,3.25,0.498333333,60,61796,415
2020/7/21,327.985992,335,311.600006,313.671997,313.671997,80786500,44.31,0,3.25,0.498333333,66,56750,372
2020/7/22,319.799988,325.283997,312.399994,318.466003,318.466003,70805500,43.98,0,3.25,0.498333333,100,72048,1160
2020/7/23,335.790009,337.799988,296.153992,302.614014,302.614014,121642500,42.96,0,3.25,0.498333333,91,68848,1124
2020/7/24,283.201996,293,273.308014,283.399994,283.399994,96983000,43.29,0,3.25,0.498333333,72,63196,1052
2020/7/27,287,309.588013,282.600006,307.920013,307.920013,80243500,43.39,0,3.25,0.498333333,59,55993,475
2020/7/28,300.799988,312.940002,294.884003,295.298004,295.298004,79043500,43.11,0,3.25,0.498333333,55,56243,1076
2020/7/29,300.200012,306.962006,297.399994,299.821991,299.821991,47134500,43.51,0,3.25,0.498333333,53,61734,1245
2020/7/30,297.600006,302.64801,294.200012,297.497986,297.497986,38105000,42.98,0,3.25,0.498333333,49,74985,1457
2020/7/31,303,303.410004,284.196014,286.152008,286.152008,61235000,43.13,0,3.25,0.498333333,53,68032,1357
2020/8/3,289.839996,301.962006,288.876007,297,297,44046500,43.76,0,3.25,0.5185,48,47511,413
2020/8/4,299.002014,305.481995,292.399994,297.399994,297.399994,42075000,43.99,0,3.25,0.5185,45,45607,543
2020/8/5,298.597992,299.967987,293.661987,297.003998,297.003998,24890000,44.92,0,3.25,0.5185,44,57525,1403
2020/8/6,298.165985,303.462006,295.451996,297.915985,297.915985,29961500,45.04,0,3.25,0.5185,44,52804,1450
2020/8/7,299.90799,299.950012,283.002014,290.541992,290.541992,44482000,44.07,0,3.25,0.5185,43,59755,1848
2020/8/10,289.600006,291.5,277.167999,283.713989,283.713989,37611500,44.19,0,3.25,0.5185,45,46847,513
2020/8/11,279.200012,284,273,274.877991,274.877991,43129000,43.68,0,3.25,0.5185,55,49530,523
2020/8/12,294,317,287,310.951996,310.951996,109494000,45.09,2,3.25,0.5185,76,46813,1076
2020/8/13,322.200012,330.235992,313.451996,324.200012,324.200012,102126500,44.87,1,3.25,0.5185,64,55941,1490
2020/8/14,332.997986,333.76001,325.328003,330.141998,330.141998,62888000,44.86,0,3.25,0.5185,58,51094,1083
2020/8/17,335.399994,369.171997,334.56601,367.127991,367.127991,101211500,44.91,0,3.25,0.5185,67,42104,571
2020/8/18,379.798004,384.779999,369.022003,377.417999,377.417999,82372500,45.34,0,3.25,0.5185,71,35056,445
2020/8/19,373,382.200012,368.242004,375.705994,375.705994,61026500,45.21,0,3.25,0.5185,66,44091,1324
2020/8/20,372.135986,404.39801,371.411987,400.365997,400.365997,103059000,44.56,0,3.25,0.5185,76,47426,1356
2020/8/21,408.951996,419.097992,405.01001,409.996002,409.996002,107448000,43.94,0,3.25,0.5185,85,44005,1078
2020/8/24,425.256012,425.799988,385.503998,402.839996,402.839996,100318000,44.43,1,3.25,0.5185,74,34506,444
2020/8/25,394.977997,405.589996,393.600006,404.667999,404.667999,53294500,46.01,0,3.25,0.5185,65,38298,473
2020/8/26,412,433.200012,410.726013,430.634003,430.634003,71197000,45.79,0,3.25,0.5185,66,38119,1207
2020/8/27,436.09201,459.119995,428.5,447.75,447.75,118465000,44.84,0,3.25,0.5185,69,42848,1228
2020/8/28,459.023987,463.697998,437.303986,442.679993,442.679993,100406000,45.22,0,3.25,0.5185,76,45909,1110
2020/8/31,444.609985,500.140015,440.109985,498.320007,498.320007,118374400,45.72,0,3.25,0.5185,100,35581,290
2020/9/1,502.140015,502.48999,470.51001,475.049988,475.049988,90119400,42.7,0,3.25,0.539548387,90,33850,529
2020/9/2,478.98999,479.040009,405.119995,447.369995,447.369995,96176100,42.72,0,3.25,0.539548387,77,44639,1091
2020/9/3,407.230011,431.799988,402,407,407,87596100,41.1,0,3.25,0.539548387,75,38754,1055
2020/9/4,402.809998,428,372.019989,418.320007,418.320007,110321900,40.67,0,3.25,0.539548387,77,36249,1053
2020/9/8,356,368.73999,329.880005,330.209991,330.209991,115465700,38.53,0,3.25,0.539548387,79,24250,267
2020/9/9,356.600006,369,341.51001,366.279999,366.279999,79465800,39.98,0,3.25,0.539548387,74,27122,471
2020/9/10,386.209991,398.98999,360.559998,371.339996,371.339996,84930600,39.27,0,3.25,0.539548387,57,31927,1136
2020/9/11,381.940002,382.5,360.5,372.720001,372.720001,60717500,38.8,0,3.25,0.539548387,53,37507,974
2020/9/14,380.950012,420,373.299988,419.619995,419.619995,83020600,38.57,0,3.25,0.539548387,52,33871,378
2020/9/15,436.559998,461.940002,430.700012,449.76001,449.76001,97298200,39.54,0,3.25,0.539548387,57,34841,451
2020/9/16,439.869995,457.790009,435.309998,441.76001,441.76001,72279300,41.23,0,3.25,0.539548387,52,51473,1407
2020/9/17,415.600006,437.790009,408,423.429993,423.429993,76779200,42.35,1,3.25,0.539548387,47,24598,865
2020/9/18,447.940002,451,428.799988,442.149994,442.149994,86406800,42.16,0,3.25,0.539548387,49,43567,831
2020/9/21,453.130005,455.679993,407.070007,449.390015,449.390015,109476800,40.37,0,3.25,0.539548387,59,39852,251
2020/9/22,429.600006,437.76001,417.600006,424.230011,424.230011,79580800,40.84,0,3.25,0.539548387,99,53153,372
2020/9/23,405.160004,412.149994,375.880005,380.359985,380.359985,95074200,41.09,0,3.25,0.539548387,88,38307,926
2020/9/24,363.799988,399.5,351.299988,387.790009,387.790009,96561100,41.24,0,3.25,0.539548387,64,37930,1102
2020/9/25,393.470001,408.730011,391.299988,407.339996,407.339996,67208500,40.91,0,3.25,0.539548387,52,44213,901
2020/9/28,424.619995,428.079987,415.549988,421.200012,421.200012,49719600,41.59,0,3.25,0.539548387,49,36248,259
2020/9/29,416,428.5,411.600006,419.070007,419.070007,50219300,40.33,0,3.25,0.539548387,48,32998,314
2020/9/30,421.320007,433.929993,420.470001,429.01001,429.01001,48145600,40.3,0,3.25,0.539548387,44,43017,928
2020/10/1,440.76001,448.880005,434.420013,448.160004,448.160004,50741500,39.75,0,3.25,0.537870968,48,41982,930
2020/10/2,421.390015,439.130005,415,415.089996,415.089996,71430000,38,0,3.25,0.537870968,51,44771,880
2020/10/5,423.350006,433.640015,419.329987,425.679993,425.679993,44722800,39.78,0,3.25,0.537870968,44,34901,400
2020/10/6,423.790009,428.779999,406.049988,413.980011,413.980011,49146300,41.27,0,3.25,0.537870968,43,40705,398
2020/10/7,419.869995,429.899994,413.850006,425.299988,425.299988,43127700,40.62,1,3.25,0.537870968,40,43062,717
2020/10/8,438.440002,439,425.299988,425.920013,425.920013,40421100,42,0,3.25,0.537870968,40,48182,892
2020/10/9,430.130005,434.589996,426.459991,434,434,28925700,41.63,0,3.25,0.537870968,41,56800,972
2020/10/12,442,448.73999,438.579987,442.299988,442.299988,38791100,40.5,0,0,0.537870968,40,43597,394
2020/10/13,443.350006,448.890015,436.600006,446.649994,446.649994,34463700,41.34,0,3.25,0.537870968,39,41653,314
2020/10/14,449.779999,465.899994,447.350006,461.299988,461.299988,48045400,41.81,0,3.25,0.537870968,44,52517,817
2020/10/15,450.309998,456.570007,442.5,448.880005,448.880005,35672400,41.61,0,3.25,0.537870968,54,59386,970
2020/10/16,454.440002,455.950012,438.850006,439.670013,439.670013,32775900,41.34,0,3.25,0.537870968,47,63785,828
2020/10/19,446.23999,447,428.869995,430.829987,430.829987,36287800,41.29,0,3.25,0.537870968,43,47843,385
2020/10/20,431.75,431.75,419.049988,421.940002,421.940002,31656300,41.62,0,3.25,0.537870968,43,60160,459
2020/10/21,422.700012,432.950012,421.25,422.640015,422.640015,32370500,40.09,0,3.25,0.537870968,58,58549,933
2020/10/22,441.920013,445.230011,424.51001,425.790009,425.790009,39993200,41.28,0,3.25,0.537870968,51,62978,1135
2020/10/23,421.839996,422.890015,407.380005,420.630005,420.630005,33717000,40.71,0,3.25,0.537870968,44,72058,841
2020/10/26,411.630005,425.76001,410,420.279999,420.279999,28239200,39.06,0,3.25,0.537870968,40,59440,331
2020/10/27,423.76001,430.5,420.100006,424.679993,424.679993,22686500,39.72,0,3.25,0.537870968,36,68359,505
2020/10/28,416.480011,418.600006,406,406.019989,406.019989,25451400,37.86,0,3.25,0.537870968,37,75129,988
2020/10/29,409.959991,418.059998,406.459991,410.829987,410.829987,22655300,36.56,0,3.25,0.537870968,36,78371,977
2020/10/30,406.899994,407.589996,379.109985,388.040009,388.040009,42511300,36.33,0,3.25,0.537870968,38,88130,968
2020/11/2,394,406.980011,392.299988,400.51001,400.51001,29021100,37.78,0,3.25,0.537870968,35,81001,440
2020/11/3,409.730011,427.769989,406.690002,423.899994,423.899994,34351700,38.17,0,3.25,0.537870968,35,83883,555
2020/11/4,430.619995,435.399994,417.100006,420.980011,420.980011,32143100,39.68,0,3.25,0.537870968,21,92734,1076
2020/11/5,428.299988,440,424,438.089996,438.089996,28414500,39.47,0,3.25,0.537870968,25,102507,1102
2020/11/6,436.100006,436.570007,424.279999,429.950012,429.950012,21706000,38.08,0,3.25,0.537870968,35,122436,1208
2020/11/9,439.5,452.5,421,421.26001,421.26001,34833000,40.93,0,3.25,0.537870968,40,110693,459
2020/11/10,420.089996,420.089996,396.029999,410.359985,410.359985,30284200,42.25,0,3.25,0.537870968,35,138901,679
2020/11/11,416.450012,418.700012,410.579987,417.130005,417.130005,17357700,42.5,0,0,0.537870968,35,147274,1432
2020/11/12,415.049988,423,409.519989,411.76001,411.76001,19855100,42.16,0,3.25,0.537870968,32,143306,2117
2020/11/13,410.850006,412.529999,401.660004,408.5,408.5,19771100,41.51,0,3.25,0.537870968,35,153669,630
